Subject,School,Gender,SEN,Questionnaire,Age_months_1,Mum_EDU,higherSES,Monoling_exposure_MONTHS,L1PERCinput,ENGexposureTOT,ENGexposurePERC,EngCUMInput,EngCUMOutput,VOC_BPVS1,GRAMM_WordStruct1,VOC_mean_SYNOPP1,GRAMM_TROGshort1,age_MONTHS_2,VOC_BPVS_2,GRAMM_WordStruct_2,VOC_meanSYNOPP_2,GRAMM_TROGshort_2,Age_months_3,VOC_BPVS_3,GRAMM_WordStruct_3,VOC_meanSYNOPP_3,GRAMM_TROGshort_3
500101,a,M,NO,Y,63,4,3.2,6,0.26,57,0.74,39.22,45.58,90,16,11,27,69,90,21,17.5,33,75,95,22,25.5,29
500102,a,F,NO,Y,69,2,NA,42,0.67,27,0.33,8.085,10.78,44,2,5.5,17,75,56,13,2,3,81,62,16,2.5,23
500103,a,M,NO,Y,65,3,NA,48,0.54,17,0.46,7.59,8.415,49,2,3,12,71,55,3,6,8,77,71,4,9,28
500104,a,F,NO,Y,63,3,9.1,12,0.69,51,0.31,15.19,23.52,76,17,6.5,22,69,84,19,11.5,22,75,95,24,10.5,26
500105,a,F,NO,Y,73,2,7.1,36,0.69,37,0.31,11.005,17.04,55,20,10.5,23,79,82,27,9.5,31,NA,NA,NA,NA,NA
500106,a,M,NO,Y,69,4,7.3,6,0.52,63,0.48,30.24,40.95,73,25,9.5,24,74,82,26,22,33,80,81,27,19.5,31
500107,a,M,NO,Y,64,3,4.1,42,0.52,22,0.48,10.08,13.86,50,3,1.5,14,69,54,8,5.5,9,75,57,9,8,18
500108,a,F,NO,Y,70,4,NA,12,0.37,58,0.63,36.54,50.46,80,15,11.5,30,75,83,15,15,21,81,85,20,15.5,28
500109,a,M,NO,Y,72,NA,NA,42,0.41,30,0.59,17.7,21.9,65,9,8,7,77,62,11,13.5,9,83,73,18,15.5,29
500201,b,F,NO,Y,63,4,7.1,12,0.59,51,0.41,19.68,19.68,60,12,6,25,69,75,18,16,26,75,77,21,11,28
500202,b,M,NO,NA,67,NA,NA,NA,NA,NA,NA,NA,NA,81,13,8,24,74,95,19,18,27,79,94,24,20.5,32
500203,b,M,NO,Y,68,4,4.1,0,0.25,68,0.75,43.5,51.04,79,21,7.5,30,74,81,24,16,32,80,103,26,13.5,34
500204,b,M,NO,Y,70,4,3.1,0,0.16,70,0.84,54.6,56.55,78,14,11,23,76,92,22,17.5,31,82,97,27,15,30
500205,b,M,NO,Y,67,4,2,30,0.41,37,0.59,20.945,20.945,75,17,3,21,73,88,19,10.5,28,78,82,24,17.5,35
500206,b,M,NO,Y,71,3,7.2,12,0.49,59,0.51,29.07,29.07,76,23,4,25,77,91,22,12.5,29,82,81,24,16.5,32
500207,b,F,NO,Y,63,4,3.1,12,0.52,51,0.48,23.52,31.85,76,20,10.5,32,69,81,19,14.5,35,75,93,23,19,30
500208,b,F,NO,Y,66,4,4.1,0,0.22,66,0.78,51.48,63.36,87,21,12.5,32,72,83,21,16.5,31,78,87,19,22,33
500209,b,F,NO,Y,71,4,3.2,0,0.35,71,0.65,43.225,43.225,92,21,21,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
500301,c,F,NO,Y,69,4,7.2,0,0.46,69,0.54,35.235,42.4125,74,21,15,34,75,79,20,15.5,34,81,94,23,22.5,36
500302,c,F,NO,Y,69,2,12.4,42,0.55,27,0.45,11.7,12.48,69,18,10.5,26,74,69,16,3,25,80,86,20,11.5,27
500303,c,M,NO,Y,71,4,4.1,67,0.69,4,0.31,0.93,0.93,50,0,7.5,0,76,54,3,7,16,82,60,5,9.5,8
500304,c,M,NO,Y,64,3,NA,36,0.69,28,0.31,8.215,8.215,50,6,4,22,70,59,13,4,25,76,66,21,7,31
500305,c,F,NO,Y,62,3,7.2,24,0.3,38,0.7,23.975,23.975,90,23,16,25,67,98,21,11.5,31,73,100,24,18,33
500306,c,M,NO,Y,69,3,5,48,0.56,21,0.44,8.8,11.6,67,12,9.5,23,74,90,15,11.5,31,80,82,20,12,31
500307,c,M,NO,Y,64,2,12.6,42,0.52,22,0.48,10.08,10.08,62,18,9.5,20,69,73,16,12.5,30,NA,NA,NA,NA,NA
500308,c,M,NO,Y,65,4,7.1,30,0.38,35,0.62,18.445,18.445,56,10,11.5,13,71,71,18,14,27,77,74,21,17.5,35
500309,c,F,NO,Y,67,2,NA,24,0.35,43,0.65,26,26,61,15,6.5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
500310,c,M,NO,Y,62,4,13.2,42,0.69,20,0.31,5.27,8.16,42,6,4.5,16,67,56,9,5.5,21,73,59,14,7,8
500311,c,M,NO,Y,63,3,12.2,24,0.69,39,0.31,11.3925,17.64,74,18,5,15,69,69,20,9,23,75,70,21,17.5,22
500312,c,M,NO,Y,71,4,2,36,0.56,35,0.44,13.42,13.42,46,10,11,21,77,49,14,12.5,26,82,56,17,10.5,28
500313,c,M,NO,Y,69,3,9.1,48,0.53,21,0.47,9.2825,9.2825,69,15,5.5,26,75,75,19,18,27,81,75,22,13.5,31
500314,c,F,NO,Y,63,2,11.1,36,0.69,27,0.31,7.44,7.44,65,9,4,25,69,65,17,13,24,75,68,20,11.5,26
500315,c,F,NO,NA,71,NA,NA,NA,NA,NA,NA,NA,NA,63,8,9,12,77,71,14,3.5,26,82,78,16,7.5,29
500316,c,M,NO,Y,62,3,6,42,0.57,20,0.43,8.17,8.17,55,17,6.5,18,68,73,19,13,20,74,81,22,9,28
500317,c,M,NO,Y,69,3,5,0,0.23,69,0.77,50.2425,58.0725,80,17,7.5,24,75,89,12,10.5,20,81,99,22,8,30
500318,c,F,NO,Y,64,4,NA,36,0.52,28,0.48,12,12,48,7,4.5,10,69,61,6,5,14,75,58,20,3,19
500319,c,F,NO,Y,64,3,NA,24,0.54,40,0.46,18.4,18.4,77,16,5.5,28,69,68,15,9,32,75,71,20,12.5,32
500320,c,M,NO,Y,72,3,NA,36,0.69,36,0.31,10.23,10.23,42,4,8,13,77,59,19,10,29,83,65,18,10,28
500321,c,F,NO,Y,71,2,7.1,0,0.59,71,0.41,29.11,29.11,39,13,6,6,76,60,18,4,13,82,73,15,9.5,22
500322,c,M,NO,Y,69,3,9.1,42,0.69,27,0.31,8.37,9.99,57,4,4,11,75,57,9,9,24,80,62,12,7.5,31
500401,d,M,NO,Y,74,3,NA,12,0.69,62,0.31,17.825,27.6,81,13,10.5,29,79,95,19,16,30,86,98,20,22,32
500402,d,M,NO,Y,72,4,3.1,0,0.15,72,0.85,58.65,65.55,96,30,23,37,77,105,30,23.5,40,83,118,29,28,39
500403,d,M,NO,Y,71,4,3.1,0,0.17,71,0.83,58.93,59.64,92,19,9.5,29,77,102,20,12,29,83,118,25,19.5,28
500404,d,F,NO,Y,66,4,3.1,0,0.17,66,0.83,50.63,61,78,16,5.5,25,71,82,22,12,32,77,93,24,18,33
500405,d,M,NO,Y,69,4,3.1,6,0.52,63,0.48,28.08,48.555,60,8,2,21,74,72,15,10,8,81,76,21,14.5,25
500406,d,M,NO,Y,63,3,12.2,24,0.69,39,0.31,12.09,25.35,62,11,6.5,22,69,71,19,11.5,18,75,79,21,11.5,29
500407,d,F,NO,Y,70,4,NA,24,0.69,46,0.31,14.26,38.18,75,20,12,26,75,82,22,18,32,81,78,27,25.5,30
500408,d,F,NO,Y,65,4,3.1,0,0.28,65,0.72,45,52.5,92,17,13,37,71,90,19,14,28,77,101,24,18,33
500409,d,F,NO,Y,69,4,2,0,0.12,69,0.88,50.82,54.285,116,25,17.5,35,75,118,24,21,35,81,121,28,26,37
500410,d,M,NO,Y,66,4,NA,12,0.17,54,0.83,44.82,54,89,15,5.5,30,71,95,19,18,30,77,99,26,21.5,32
500411,d,F,NO,Y,66,4,3.1,24,0.26,42,0.74,31.08,32.76,68,17,10.5,28,71,80,24,15.5,32,77,89,24,16.5,36
